Field Comm	Delta	Reporting Unit	Location	Capability	Component	Squadron Type	Mission	Task Number	Task Title	Task Full Name	MET Display Title	MET Analytics Series	MET Analytics Code	MET Analytics Name	MET Analytics Sort	MET Measure Full Name	Measure	Criteria Met	REMARK
Field Comm 2	03	0005 ELECTROMAG WARFARE SQ 0000	Los Angeles Air Force Base	ESDAA	Active	Force Generation	Core	AFTA 3.5.1.9.2	Perform Weapons and Tactics Functions	AFTA 3.5.1.9.2 - Perform Weapons and Tactics Functions	Perform Weapons and Tactics Functions in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	ue turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	03	0005 ELECTROMAG WARFARE SQ 0000	Patrick Space Force Base	ESDAA	Active	Force Generation	Core	AFTA 3.5.1.9.3	Perform Space Crew Force Management	AFTA 3.5.1.9.3 - Perform Space Crew Force Management	Perform Space Crew Force Management in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	em ipsum odor amet, consectetuer adipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	03	0005 ELECTROMAG WARFARE SQ 0000	Cheyenne Mountain Space Force Station	ESDAA	Active	Force Generation	Core	AFTA 3.5.3.5.2	Provide Space/Cyber Intelligence Support	AFTA 3.5.3.5.2 - Provide Space/Cyber Intelligence Support	Provide Space/Cyber Intelligence Support in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	03	0005 ELECTROMAG WARFARE SQ 0000	Cape Cod Space Force Station	ESDAA	Reserve	Force Generation	Core	SN 3.5	Provide Space Capabilities	SN 3.5 - Provide Space Capabilities	Provide Space Capabilities in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	05	0005 SPACE DE 0000	Schriever Space Force Base	7FVXA	Active	Force Generation	Core	AFTA 3.5.1.2.2	Perform Continuity of Space Operations	AFTA 3.5.1.2.2 - Perform Continuity of Space Operations	Perform Continuity of Space Operations in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	ncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	05	0005 SPACE DE 0000	Vandenberg Space Force Base	7FVXA	Guard	Force Generation	Core	AFTA 3.5.3.5.2	Provide Space/Cyber Intelligence Support	AFTA 3.5.3.5.2 - Provide Space/Cyber Intelligence Support	Provide Space/Cyber Intelligence Support in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	E007 - t. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	05	0005 SPACE DE 0000	Patrick Space Force Base	7FVXA	Active	Force Generation	Core	AFTA 3.5.3.5.4	Provide Intelligence Support to Targeting Process	AFTA 3.5.3.5.4 - Provide Intelligence Support to Targeting Process	Provide Intelligence Support to Targeting Process in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	met, consectetuer adipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	05	0005 SPACE DE 0000	Cape Cod Space Force Station	7FVXA	Guard	Force Generation	Core	AFTA 3.5.4.2.1	Plan, coordinate, allocate, task, optimize, integrate and execute operations in order to deliver space effects through the Combined Space Operations Center (CSpOC) in support of worldwide theater forces	AFTA 3.5.4.2.1 - Plan, coordinate, allocate, task, optimize, integrate and execute operations in order to deliver space effects through the Combined Space Operations Center (CSpOC) in support of worldwide theater forces	Plan, coordinate, allocate, task, optimize, integrate and execute operations in order to deliver space effects through the Combined Space Operations Center (CSpOC) in support of worldwide theater forces in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	E007 - a interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	08	0053 SPACE OPNS SQ 0001	New Boston Space Force Station	5SSFA	Active	Force Generation	Core	AFTA 3.5.3.4.2	Perform Wideband Military Satellite Communications	AFTA 3.5.3.4.2 - Perform Wideband Military Satellite Communications	Perform Wideband Military Satellite Communications in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	enectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	08	0053 SPACE OPNS SQ 0002	Peterson Space Force Base	5SSFA	Active	Force Generation	Core	AFTA 3.5.3.4.2	Perform Wideband Military Satellite Communications	AFTA 3.5.3.4.2 - Perform Wideband Military Satellite Communications	Perform Wideband Military Satellite Communications in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	08	0053 SPACE OPNS SQ 0004	Vandenberg Space Force Base	5SSFA	Active	Force Generation	Core	AFTA 3.5.3.4.2	Perform Wideband Military Satellite Communications	AFTA 3.5.3.4.2 - Perform Wideband Military Satellite Communications	Perform Wideband Military Satellite Communications in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	dipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	08	0053 SPACE OPNS SQ 0005	Peterson Space Force Base	5SSFA	Active	Force Generation	Core	AFTA 3.5.3.4.2	Perform Wideband Military Satellite Communications	AFTA 3.5.3.4.2 - Perform Wideband Military Satellite Communications	Perform Wideband Military Satellite Communications in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0073 INTL/SURVEIL/RECON SQ 0002	Peterson Space Force Base	PS3AA	Active	Force Generation	Core	AFST 2.2.6	Provide Actionable Signals Intelligence (SIGINT)	AFST 2.2.6 - Provide Actionable Signals Intelligence (SIGINT)	Provide Actionable SIGINT in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	E007 - ien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0002	Vandenberg Space Force Base	PS3AA	Active	Force Generation	Core	AFST 2.5.2.1	Provide SIGINT Indications & Warning	AFST 2.5.2.1 - Provide SIGINT Indications & Warning	Provide SIGINT Indications & Warning in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	E007 - e. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0073 INTL/SURVEIL/RECON SQ 0002	Los Angeles Air Force Base	PS3AA	Active	Force Generation	Core	AFST 2.5.2.2	Provide SIGINT Real Time/Near Real Time Situational Awareness	AFST 2.5.2.2 - Provide SIGINT Real Time/Near Real Time Situational Awareness	Provide SIGINT Real Time/Near Real Time Situational Awareness in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	erdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0073 INTL/SURVEIL/RECON SQ 0002	Patrick Space Force Base	PS3AA	Active	Force Generation	Core	AFTA 5.6.4.3	Perform Electronic Support	AFTA 5.6.4.3 - Perform Electronic Support	Perform Electronic Support in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0004	Patrick Space Force Base	PS3AA	Active	Force Generation	Core	AFST 2.2.6	Provide Actionable Signals Intelligence (SIGINT)	AFST 2.2.6 - Provide Actionable Signals Intelligence (SIGINT)	Provide Actionable Signals Intelligence (SIGINT) in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0073 INTL/SURVEIL/RECON SQ 0004	Cape Cod Space Force Station	PS3AA	Active	Force Generation	Core	AFST 2.2.6.1	Collect SIGINT on Specified Targets	AFST 2.2.6.1 - Collect SIGINT on Specified Targets	Collect SIGINT on Specified Targets in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	n semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0073 INTL/SURVEIL/RECON SQ 0004	New Boston Space Force Station	PS3AA	Active	Force Generation	Core	AFST 2.3.4	Process & Exploit Collected SIGINT Information	AFST 2.3.4 - Process & Exploit Collected SIGINT Information	Process & Exploit Collected SIGINT Information in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	E007 - u dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0004	Los Angeles Air Force Base	PS3AA	Active	Force Generation	Core	AFST 2.5.1.3	Provide SIGINT Reporting on Specified Targets	AFST 2.5.1.3 - Provide SIGINT Reporting on Specified Targets	Provide SIGINT Reporting on Specified Targets in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	E007 - cu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	07	0073 INTL/SURVEIL/RECON SQ 0004	Los Angeles Air Force Base	PS3AA	Active	Force Generation	Core	AFTA 5.6.4.3	Perform Electronic Support	AFTA 5.6.4.3 - Perform Electronic Support	Perform Electronic Support in CDO environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	N	ctus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0006	Buckley Space Force Base	PS3AA	Active	Force Generation	Core	AFST 2.2.6	Provide Actionable Signals Intelligence (SIGINT)	AFST 2.2.6 - Provide Actionable Signals Intelligence (SIGINT)	Provide Actionable SIGINT in CDO Environments	E	E007	Threat Environment and Threat Matrix for CAF units	6	E007 - Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Able to perform this MET in Disrupted Environment (Contested) / Threat Level 3 / All Forces Challenged	Y	E007 - t, consectetuer adipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
